dataset,method,target_recall,best_config_id,recall50,qps,avg_full_eval,compact_cell
SPLADE-0.1M,CABS,0.90,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.91,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.92,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.93,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.94,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.95,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.96,K15_tau0.7_eta0.05_nprobe15,0.9680,610.1130,8628.82,610 (8.6k)
SPLADE-0.1M,CABS,0.97,K20_tau0.7_eta0.03_nprobe15,0.9708,355.2650,7251.06,355 (7.3k)
SPLADE-0.1M,CABS,0.98,N/A,N/A,N/A,N/A,N/A
SPLADE-0.1M,CABS,0.99,N/A,N/A,N/A,N/A,N/A
SPLADE-FULL (8.84M),CABS,0.90,K32_tau0.8_eta0.02_nprobe3,0.9034,270.8980,27812.50,271 (27.8k)
SPLADE-FULL (8.84M),CABS,0.91,K32_tau0.8_eta0.02_nprobe5,0.9608,174.1390,45106.40,174 (45.1k)
SPLADE-FULL (8.84M),CABS,0.92,K32_tau0.8_eta0.02_nprobe5,0.9608,174.1390,45106.40,174 (45.1k)
SPLADE-FULL (8.84M),CABS,0.93,K32_tau0.8_eta0.02_nprobe5,0.9608,174.1390,45106.40,174 (45.1k)
SPLADE-FULL (8.84M),CABS,0.94,K32_tau0.8_eta0.02_nprobe5,0.9608,174.1390,45106.40,174 (45.1k)
SPLADE-FULL (8.84M),CABS,0.95,K32_tau0.8_eta0.02_nprobe5,0.9608,174.1390,45106.40,174 (45.1k)
SPLADE-FULL (8.84M),CABS,0.96,K32_tau0.8_eta0.02_nprobe5,0.9608,174.1390,45106.40,174 (45.1k)
SPLADE-FULL (8.84M),CABS,0.97,K32_tau0.8_eta0.02_nprobe8,0.9780,116.0610,70785.90,116 (70.8k)
SPLADE-FULL (8.84M),CABS,0.98,K20_tau0.7_eta0.02_nprobe5,0.9850,61.4650,95345.30,61 (95.3k)
SPLADE-FULL (8.84M),CABS,0.99,K20_tau0.7_eta0.02_nprobe8,0.9919,54.2866,145173.00,54 (145.2k)
